Telefono,Linea,Nombre,Asignado_A,Fecha_Asignacion,Semana,Grupo
56942873925,clinicas,Criolipólisis Melipilla (Estética Zelaya),Daniela,2026-09-24,2026-W39,sin_respuesta
56928633256,clinicas,Podologa Clinica Yilian Manriquez,Daniela,2026-09-24,2026-W39,sin_respuesta
56959686869,clinicas,Centro Estético Luna Nueva,Daniela,2026-09-24,2026-W39,sin_respuesta
56945538168,clinicas,La Vie - Centro de Estética,Daniela,2026-09-24,2026-W39,sin_respuesta
56996540231,clinicas,Renace Estetica Integral,Daniela,2026-09-24,2026-W39,sin_respuesta
56996915531,clinicas,Mila Centro de Estetica Integral,Daniela,2026-09-24,2026-W39,sin_respuesta
56981715850,clinicas,Estetica Maria de los Angeles Marquez,Daniela,2026-09-24,2026-W39,sin_respuesta
56947464746,clinicas,Clinica Gulfo - Medicina Estetica y Dermatología,Daniela,2026-09-24,2026-W39,sin_respuesta
56932000218,clinicas,Medicina Estética Integral MD,Daniela,2026-09-24,2026-W39,sin_respuesta
56951815184,clinicas,Dra. Azucena Montilla — Medicina Estética,Daniela,2026-09-24,2026-W39,sin_respuesta
56981948704,clinicas,Clinica Upgrade,Daniela,2026-09-24,2026-W39,sin_respuesta
56942529181,clinicas,Clínica de Medicina Estética Gliamori,Daniela,2026-09-24,2026-W39,sin_respuesta
56931007002,clinicas,CB Medicina Estética Las Condes,Daniela,2026-09-24,2026-W39,sin_respuesta
56954107902,clinicas,Dra. Javiera Manríquez Palavecino,Daniela,2026-09-24,2026-W39,sin_respuesta
56935340819,clinicas,Bendov ESTETICA CLINIC,Daniela,2026-09-24,2026-W39,sin_respuesta
