Id,Fecha,Hora,Evento,Ministerio,Ubicacion,Estado,Telefono,Fecha_Contacto,Dia_Secuencia,Email,Email_Enviado,Resultado,Notas,Version_Mensaje
1,23/02/2026,12:59,Welsch Estética Ñuñoa,Prospeccion Automatica,Ñuñoa,Rechazado,56945653610,24/02/2026 12:59,2,,No,,,
2,23/02/2026,12:59,Armonia Clínica Estetica Médica,Prospeccion Automatica,Ñuñoa,Rechazado,56931467483,24/02/2026 12:59,2,,No,,,
3,23/02/2026,12:59,NoaHealthy Centro Médico y Estético,Prospeccion Automatica,Ñuñoa,Rechazado,56998858883,24/02/2026 12:59,2,,No,,,
4,23/02/2026,12:59,Clínica Kbody Ñuñoa,Prospeccion Automatica,Ñuñoa,Finalizado,56971884561,27/02/2026 13:56,4,,No,,,
5,23/02/2026,12:59,Mine Estética Ñuñoa | Depilación Láser y HIFU,Prospeccion Automatica,Ñuñoa,Error,56956082740,28/02/2026 13:43,3,,No,,,
6,23/02/2026,12:59,Entre nosotras estetica,Prospeccion Automatica,Ñuñoa,Finalizado,56951952050,27/02/2026 10:32,4,,No,,,
7,23/02/2026,12:59,Clínica Estética Kinemistic Ñuñoa,Prospeccion Automatica,Ñuñoa,Finalizado,56929914264,26/02/2026 18:11,4,,No,,,
8,23/02/2026,12:59,Clinica Estética nueva imagen,Prospeccion Automatica,Ñuñoa,Finalizado,56965846294,27/02/2026 17:45,4,,No,,,
9,23/02/2026,12:59,LyL estetica integral,Prospeccion Automatica,Ñuñoa,Error,56229295642,,0,info@lylcentrodesteticayspa.c1,No,,,
10,23/02/2026,12:59,La Fuente de Belleza,Prospeccion Automatica,Ñuñoa,Finalizado,56967691191,27/02/2026 17:45,4,,No,,,
11,23/02/2026,12:59,The Golden Spa,Prospeccion Automatica,Ñuñoa,Error,56942103998,,0,contacto@thegoldenspa.cl,No,,,
12,23/02/2026,13:00,Salón de belleza Ashes,Prospeccion Automatica,Ñuñoa,Finalizado,56930101099,28/02/2026 10:07,4,ejemplo@dominio.com,No,,,
13,24/02/2026,12:00,Centro de Estética NCA,Prospeccion Automatica,Vitacura,Error,56984305553,27/02/2026 10:32,2,,No,,,
14,24/02/2026,12:00,Dubó Estética,Prospeccion Automatica,Vitacura,Finalizado,56951442995,28/02/2026 17:40,4,,No,,,
15,24/02/2026,12:00,Clínica Estética San Martín,Prospeccion Automatica,Vitacura,Finalizado,56982969574,02/03/2026 12:01,4,,No,,,
16,24/02/2026,12:00,ESTÉTICA FACIAL DRA SOFIA LEVRINI,Prospeccion Automatica,Vitacura,Finalizado,56989774602,02/03/2026 17:52,4,,No,,,
17,24/02/2026,12:00,Clínica Esan,Prospeccion Automatica,Vitacura,Finalizado,56938902388,28/02/2026 11:40,4,,No,,,
18,24/02/2026,12:00,Clínica Aurea,Prospeccion Automatica,Vitacura,Correo,56942706095,25/02/2026 12:59,2,contacto@clinicaaurea.cl,Si,,,
19,24/02/2026,12:00,Clínica estética ILUM,Prospeccion Automatica,Lo Barnechea,Rechazado,56939169086,25/02/2026 12:59,2,,No,,,
20,24/02/2026,12:00,Clínica Estética Palavas La Dehesa,Prospeccion Automatica,Lo Barnechea,Rechazado,56965072455,24/02/2026 12:59,1,,No,,,
21,24/02/2026,12:00,Clínica Medicina Estética Dra. Belén Lama,Prospeccion Automatica,Lo Barnechea,Finalizado,56965887655,28/02/2026 15:50,4,,No,,,
22,24/02/2026,12:00,Clínica Maat,Prospeccion Automatica,Lo Barnechea,Finalizado,56926233604,02/03/2026 14:06,4,,No,,,
23,24/02/2026,12:00,Dr. Sebastián Eladio,Prospeccion Automatica,Lo Barnechea,Finalizado,56956080418,28/02/2026 11:40,4,,No,,,
24,24/02/2026,12:00,Clínica Belleza del Bosque,Prospeccion Automatica,Lo Barnechea,Finalizado,56958035765,02/03/2026 14:06,4,,No,,,
25,24/02/2026,12:00,Skin and Glow,Prospeccion Automatica,Lo Barnechea,Rechazado,56944218003,25/02/2026 12:59,2,,No,,,
26,24/02/2026,12:00,Cirugía 360,Prospeccion Automatica,Lo Barnechea,Finalizado,56942204831,02/03/2026 12:01,4,,No,,,
27,24/02/2026,12:00,CLINICA MOREN,Prospeccion Automatica,Lo Barnechea,Finalizado,56965098771,02/03/2026 16:07,4,,No,,,
